Brand,Mentions
Toyota,1838
Honda,1281
Ford,955
Bmw,923
Lexus,480
Hyundai,426
Audi,398
Kia,361
Dodge,355
Jeep,342
Ac,336
Acura,207
Corvette,200
Cadillac,176
Buick,164
Chrysler,149
Ferrari,144
Genesis,101
Gmc,95
Lotus,84
Infiniti,82
Fiat,79
Lincoln,75
Jaguar,68
Land Rover,45
Lamborghini,44
Alfa Romeo,38
Aston Martin,32
Byd,31
Hummer,26
Bentley,23
Cobra,20
Isuzu,19
Lucid,18
Alpine,17
Datsun,17
Abarth,17
Holden,14
Bugatti,14
Austin,12
Ariel,9
Caterham,9
Dacia,9
Fisker,9
Daihatsu,8
Daewoo,7
Delorean,6
Lancia,6
Cupra,5
Bac,5
Lada,4
Koenigsegg,4
Daimler,3
Alpina,3
Citroën,3
Ak,2
De Tomaso,2
Gemballa,1
Invicta,1
Autobianchi,1
Horch,1
Ligier,1
Brabus,1
Leyland,1
Birdie,1
Great Wall,1
