Model,Mentions
I,26405
Is,19334
Go,4684
M,3900
10,1103
Daily,864
20,850
Idea,799
Air,767
100,762
Life,661
30,627
7,612
500,581
Move,518
15,480
Corolla,473
Camry,408
Business,398
Mustang,359
25,346
12,326
300,324
200,311
Rav4,304
90,303
V6,295
Gt,288
Safe,288
Accord,285
Golf,273
Special,266
Spark,264
Zero,261
80,253
1000,240
Focus,223
City,213
Charger,207
Corvette,200
1500,184
Karma,183
16,173
Max,166
M3,164
Sensors,164
Mini,159
Coupe,157
Ram,148
Seal,146
600,146
Classic,135
800,133
Buddy,129
Maverick,129
45,129
Spring,125
Silverado,120
35,115
Y,115
California,114
Camaro,111
M2,109
Edge,102
Elantra,102
Cherokee,101
Genesis,101
06,100
G,100
Pro,100
Ex,97
Fwd,95
700,91
07,91
Wrangler,89
Fusion,87
Ls,85
Blazer,82
Cx,81
05,79
Soul,79
Escape,79
Viper,77
C8,77
Jumper,77
Bronco,75
Tahoe,72
Mustang Gt,71
Tracker,71
Suburban,70
08,69
M5,68
Ten,66
Pilot,65
Media,62
F-150,60
03,60
Rx,59
02,59
01,59
Combo,58
1200,58
Colorado,58
Odyssey,57
X3,57
Fiesta,55
Explorer,55
Z06,54
Escalade,54
A4,53
Rush,53
09,52
Grand Cherokee,52
Challenger,51
K5,50
Compass,48
Switches,47
Impala,47
Ioniq,47
Volt,46
Malibu,46
Cr-V,45
C7,45
3 Series,43
Es,43
750,42
Sonata,41
M4,40
240,39
R8,38
Caravan,37
Gs,37
Z4,37
Lx,37
180,36
110,36
X5,36
Lesabre,35
I4,35
Yukon,35
Equinox,35
1600,34
Elise,34
S4,33
Century,33
Territory,32
Gravity,32
Veloster,32
C6,31
Taurus,31
Zr1,30
Ridgeline,30
Ct5,30
Civic Type R,30
Lc,30
Xj,30
Tx,29
Kona,29
Cts,29
Tt,29
Santa Fe,28
Crown Victoria,28
Nsx,28
Emira,28
Eight,27
S5,27
Regal,27
Mdx,27
Falcon,27
Accent,26
Gx,26
Range Rover,26
Vision,26
Tucson,25
Neon,25
Lyriq,25
Roadster,24
Cruze,24
Laser,24
Dakota,24
C5,23
Express,23
Metro,23
5 Series,23
Town Car,23
Giulia,23
Journey,23
Cobalt,22
Born,22
A5,22
G80,21
Jimmy,21
Pacifica,21
Canyon,21
Rdx,21
Racer,21
Q5,21
Avalanche,20
Vistiq,20
Cobra,20
Shadow,20
Escort,20
A6,20
Daytona,20
Sportage,20
J,20
S3,20
Nova,20
Stinger,19
240K,19
Spirit,19
Astro,19
Be Up,19
Lfa,19
330,19
Grand Caravan,19
330I,19
Rs3,18
Hr-V,18
Expedition,18
Trax,18
Spider,18
M240I,18
Continental,17
Forte,17
Sc,17
A3,17
Defender,17
Ct,17
X1,17
850,17
Deer,17
Seven,17
Traverse,17
720,17
Wagoneer,16
Ct4,16
Terrain,16
1300,16
Ff,16
300Zx,16
Deville,16
Gemini,16
540I,16
Passport,15
Durango,15
Nitro,15
Mega,15
M8,15
Discovery,15
Vantage,15
Tlx,15
Rc,15
Sunny,15
Sq5,15
Trailblazer,14
335I,14
Cts-V,14
Commodore,14
C4,14
325I,14
X6,14
Mini Cooper S,14
Pig,14
328I,14
Sorento,13
C3,13
Cavalier,13
Thunderbird,13
I5,13
175,12
Multipla,12
Palisade,12
Shark,12
Magnum,12
Gladiator,12
Mkz,12
Dart,12
Z3,12
Roadmaster,12
104,12
Lumina,12
Rio,12
Park Avenue,11
Ct5-V,11
210,11
Ix,11
4 Series,11
Enclave,11
Nx,11
Ds,11
7 Series,11
Cast,11
Hornet,10
Revuelto,10
Ute,10
165,10
Riviera,10
El Camino,10
Telluride,10
Optima,10
Civic Hatchback,10
Caprice,10
F40,10
Q7,10
Rz,10
Ocean,10
F-Type,10
4C,10
Monte Carlo,9
2 Series,9
Lucerne,9
Conquest,9
Q50,9
Roma,9
Delta,9
Princess,9
G70,9
Evora,9
Aviator,9
Duster,9
Avenger,9
Lacrosse,9
Niro,9
Ev6,9
135,9
Gv80,9
Gv70,9
Hummer Ev,9
S-10,9
C10,9
Trooper,9
Urus,9
Caliber,8
Song,8
Q3,8
Navigator,8
F-250,8
Emotion,8
B5,8
Acadia,8
Encore,8
Venture,8
Ux,8
Prologue,8
Exige,8
244,8
166,8
Qx60,8
Ct4-V,8
T8,8
525I,8
Stelvio,8
Silhouette,8
Wiring Harnesses,8
427,8
G90,7
Sebring,7
Ranger Raptor,7
Carnival,7
Stratus,7
Qx80,7
Fusion Hybrid,7
Pt Cruiser,7
Xf,7
Ace,7
Rodeo,7
Fargo,7
Ilx,7
Esprit,7
Atom,7
I3,7
I30,7
Hs,7
Q8,6
Pantera,6
340I,6
Sp,6
235,6
Ats,6
134,6
Sing,6
Venue,6
Excursion,6
X3 M40I,6
128I,6
Bolide,6
Db12,6
145,6
240Z,6
X2,6
F-350,6
Violet,6
135I,6
Z4 M40I,6
Elite,6
A8,6
M1,6
Sonic,6
Pick-Up,6
Lbx,6
Panda,6
Xm,6
Xt4,5
A7,5
Grand Sport,5
Q60,5
148,5
Crossfire,5
Cherry,5
Lebaron,5
R8 V10,5
B8,5
Fairlane,5
E-Ray,5
Seltos,5
Leon,5
8 Series,5
156,5
Zdx,5
Jesko,5
Countach,5
Renegade,5
Naked,5
Ev9,5
Sm,5
300M,5
Safari,5
B4,5
A110,5
Hhr,5
Twelve,5
Accord Hybrid,5
X1/9,5
Cr-V Hybrid,5
Astra,5
Regera,5
Aventador,5
B10,5
1 Series,5
Xe,5
A1,5
Gsa,5
C-Max,5
310,5
Stratos,4
M6,4
Galaxy,4
Lemans,4
X7,4
Eleven,4
Grand Wagoneer,4
Sonoma,4
318I,4
Intrepid,4
159,4
C2,4
Rendezvous,4
Bmw X6,4
520,4
Envision,4
X4,4
Stealth,4
Ka,4
Punto,4
F-Pace,4
Xt5,4
Rs7,4
S6,4
Miura,4
New Yorker,4
H2,4
B7,4
Aspen,4
Srx,4
Aveo,4
138,4
Rs5,4
Fairlady,4
Beretta,4
595,4
510,4
Electra,4
Hawk,4
Mono,4
Visa,4
Qx50,3
323I,3
Diablo,3
Rocky,3
Zx,3
A4 Avant,3
S2,3
Phaeton,3
Range Rover Sport,3
Xt6,3
Gallardo,3
M235I,3
Bentayga,3
Continental Gt,3
Villa,3
F355,3
300C,3
F50,3
Zeta,3
Eletre,3
Gv60,3
A6 Allroad,3
Regal Tourx,3
M5 Touring,3
M3 Touring,3
620,3
Xlr,3
Nautilus,3
I7,3
Runabout,3
128,3
A290,3
Bluebird,3
Fairmont,3
147,3
Transit Connect,3
2Cv,3
320I,3
Lanos,3
C1,3
Five Hundred,3
Yukon Xl,3
H1,3
Bolt Ev,3
440I,3
Qx70,3
Prince,3
Mondeo,3
Interceptor,3
Windstar,3
Envoy,3
Civic Sedan,3
Uno,3
Sts,3
M10,3
127,3
Bravo,3
B6,3
Prizm,3
Verano,3
Everest,3
H3,3
Jolly,2
Majestic,2
Orlando,2
Mu,2
F11,2
126,2
Mkt,2
640I,2
Fx4,2
A35,2
Laurel,2
Copen,2
Logan,2
530E,2
Voyager,2
R Type,2
Stanza,2
Formentor,2
Db9,2
Allante,2
Testarossa,2
Californian,2
Brougham,2
Transit Van,2
132,2
Savana,2
Manta,2
Tiger,2
530I,2
Eldorado,2
243,2
Materia,2
Cortina,2
458 Spider,2
Opti,2
V12 Vantage,2
Ami,2
Giulietta,2
Tlx Type S,2
Picanto,2
Guardian,2
535D,2
Edge St,2
S7,2
V7,2
V8 Vantage,2
S1,2
E-C3,2
I4 M50,2
E5,2
Apollo,2
E-Tron,2
840I,2
130I,2
Ecosport,2
Tipo,2
Windsor,2
H6,2
Divo,2
Telstar,2
Discovery Sport,2
M3 Competition,2
M5 Competition,2
A4 Allroad,2
Lhs,2
Series I,2
Corsair,2
280Zx,2
230I,2
Comet,2
Corsica,2
Csr,2
Town & Country,2
855,2
F-450,2
Fx,2
Cirrus,2
162,2
Escalade Esv,2
Cts Coupe,2
332,2
Colt,2
B3,2
528I,2
Gazelle,2
A3 Sportback,2
Pear,2
535I,2
Jumpy,2
Focus Svt,2
168,2
750I,2
F22,2
E2,2
S-Type,2
Cygnet,2
A5 Sportback,2
320D,2
Tonale,2
124 Spider,1
Hijet,1
Bulldog,1
Finn,1
C36,1
Charade,1
131,1
288 Gto,1
Freelander,1
280Z,1
I-Pace,1
V5,1
Ct6,1
Korando,1
Db11,1
Mulsanne,1
348,1
Invicta,1
Azure,1
D5,1
740I,1
Ct6-V,1
Series Ii,1
118I,1
